( lwazi_0001 "UHenry Fynn ufake ubhememe wesigqoko esinompheme omude." )
( lwazi_0002 "Inhlangano ethile yezemvelo iyophelelwa yisikhathi uma umhlaba ungasasetshenziselwa izinhloso zokongiwa kwemvelo." )
( lwazi_0003 "Uma kunjalo, umhlaba uyobalelwa njengokusebenza kwawo okusha kusukela ngosuku okwaqala ngalo." )
( lwazi_0004 "Uma kunikezwe ngolwazi lomuntu siqu kule webhusayithi, abasebenzisi abafisa ukubuyekeza ulwazi lwabo bangenza lokho ngesicelo sokucela ukubuyekeza, ngokusebenzisa ilinki yefeyisibhuku." )
( lwazi_0005 "Sinesimemezelo esenziwe yilowo muntu esho ukuthi ngokwazi nangokukholwa kwakhe siyiqiniso." )
( lwazi_0006 "Sinesimemezelo lapho esho khona ukuthi, usenze enolwazi lokuthi kungenzeka atholakale enecala, uma ebazi ukuthi akusilo iqiniso." )
( lwazi_0007 "Isilandisostatemente leso sikhonjiswe omunye othintekayo kulolu daba, kusasele okungenani izinsuku eziyisikhombisa ngaphambi kosuku lokuphenywa kodaba." )
( lwazi_0008 "Okuyogxilwa kakhulu kukho wukuxhumanisa izakhiwo ezahlukene zolimi nemisebenzi yokuqhuba umsebenzi wenhlangano ethile." )
( lwazi_0009 "Kwenziwa ngenhloso yokuqinisa igalelo lokudidiyela nokusebenzisa ngendlela egculisayo izinsiza." )
( lwazi_0010 "Noma ngubani ohlola noma olungisa imishini esetshenziswa ekuxhumaneni, ekuhloleni indlela yendiza, noma ukuhlola isimo ngaphakathi endizeni, eyosebenza ngaphansi kohlelo oluthile, kufanele ayihlole ngendlela enqunywe wuMqulu wenhlangano yezokuhlola." )
( lwazi_0011 "Ukuya emtholampilo wabakhulelwe, kwenza ukuthi abahlengikazi nodokotela bakwazi ukuthola kusenesikhathi uma kukhona inkinga." )
( lwazi_0012 "Kubalula ukuthi basheshe bathole ezinye izifo ezingaqubuka ngesikhathi ukhulelwe." )
( lwazi_0013 "Lezi yizifo ezifana noshukela, ukugijima kakhulu komfutho wegazi, ingculazi, izifo ezithathelana ngocansi, nokunye." )
( lwazi_0014 "Abahlongoza ukuthumela impahla ngaphandle kwezwe, kumele bangene engosini ethile ye-inthanethi." )
( lwazi_0015 "Lapha bazothola uhlelo lwe-inthanethi nayo yonke inqubo yokuthumela impahla ngaphandle kwezwe." )
( lwazi_0016 "Kukhona nomunye udokotela esinolwazi ngaye." )
( lwazi_0017 "Wathola sona lesi sifo sofuba emsebenzini wakhe wokwelapha, kumbe ezibhedlela zethu." )
( lwazi_0018 "Kwaholela ekutheni angabe esezwa ngezindlebe zakhe." )
( lwazi_0019 "Owesifazane washonelwa wumyeni wakhe." )
