(data_001 "Nika bafundzi litfuba lekucocisana ngalendzaba" )
(data_002 "Babute kutsi bacabanga kutsi kwentekani" )
(data_003 "Bafundzi bayacocisana baphindze badvwebe bahlabele netingoma" )
(data_004 "Ngaphandle kwaloku lobekwentiwa ngulomfana, ngutiphi letinye tintfo letimbili letingafunwa nguNkulunkulu?" )
(data_005 "Nika sicephu ngasinye lokumele sifundvwe bafundzi ukhombise nendlela yekusifundza" )
(data_006 "Kepha ngendiza kutsatsa li-awa linye nesigamu" )
(data_007 "Sita bafundzi kwakha timoto tekudlala babuka imilayeto lesetincwadzini tabo" )
(data_008 "Loku kulungiselela imisindvo lokungiyona ifundziswa kulesehluko" )
(data_009 "Titselo letihlanyelwa balimi eSwatini ngunati emahhabhula, emaphopho, phayinaphu, mangoza nalokunye" )
(data_010 "Kukhona tinkapane tashukela eMhlume, eBig Bend, naseSimunye" )
(data_011 "Mhlawumbe kukhona longakutfola kuwo kulesikhashana, kodvwa ke unelilungelo lembhalo njengoba kubhaliwe ekugcineni" )
(data_012 "Ummbila ukhiwa ensimini usemanti uphekwe udliwe" )
(data_013 "Tibongo letehlukile kini senyoko nagogo" )
(data_014 "Hambahamba ekilasini ubuke uphindze usite lapho ungasita khona" )
(data_015 "Uchamuka nje umntfwana semdzala uyatibuka" )
(data_016 "Gcizelela kubafundzi kutsi balalelisise ngobe batakube sebaphendvula imibuto ngalabakuvile" )
(data_017 "Cela bafundzi kutsi ngamunye akabhale lokudvuna, nalokusikati kwako kulabakufundzile" )
(data_018 "Chaza ngemagumbi emhlaba, laseceleni kwelibalave" )
(data_019 "Buta bafundzi kutsi yini leyenteka enkhundleni yemidlalo" )
(data_020 "Babute imibuto lesetincwadzini tabo macondzana nesitfombe" )
(data_021 "Khumbula kutsi bantfwana bakhale njengelituba kanje, krr, krr" )
(data_022 "Sebentisa imibuto lesetincwadzini tebafundzi kukhutsata lokucocisana" )
(data_023 "Ngenhlaba ngulesikhatsi sihlahla inhlaba sisuke sichakate timbali" )
(data_024 "Emalungelo ebantfwana ayefana nemalungelo awo wonkhe umuntfu, njengoba abhalwe kumtsetfosisekelo" )
(data_025 "Cela bafundzi labambalwa bayifundze ngekushiyelana, bese baphendvula imibuto" )
(data_026 "Sita bafundzi bafundze tisho letisencwadzini yabo" )
(data_027 "Lelituba litihambela lodvwana nje, kwabona nobe ngubani lonemehlo" )
(data_028 "Kantsi ke kusengakabiphi, ngisetabachayisa bosiBhilidwane naDorothi" )
(data_029 "Themba niyatana yini nalomuntfu lotsi Dorothi, yebo mnaka Themba" )
(data_030 "Pat bengitsi phela njengaloya mfanyana utawunamatsela emacinisweni, kunekutsi uhheme" )
(data_031 "Phela litsambo lakho litsambo lakho njalo awulilahli ngisho selikuhlohlotsela kanjani" )
(data_032 "Utawutsi nje ungashada bese uphuma uphele kuye" )
(data_033 "Dorothi utawukopa emanothi kuwe Getty na Getrude" )
(data_034 "Kumbe singasaniboni nje boMavundla nihambe kahle" )
(data_035 "Lucolo bomngamu kunanangu babe langaphandle utsi ucela indlu yaDorothi" )
(data_036 "Hhawu mngamu Getty ungabuta kimi ngitibhudzela?" )
(data_037 "Akulalwe bomngamu utanilaya phayinaphu lemshinini nase netela" )
(data_038 "Ngente njani kubachachi betinkhinga bashuki betikhumba tetinkunzi" )
